Date,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Death,Total Confirmed cases
2020-03-10,31,16,0,0,47
2020-03-11,44,16,0,0,60
2020-03-12,56,17,0,0,73
2020-03-13,65,17,10,2,82
2020-03-14,67,17,10,2,84
2020-03-15,93,17,13,2,110
2020-03-16,97,17,13,2,114
2020-03-17,113,24,14,3,137
2020-03-18,126,25,14,3,151
2020-03-19,148,25,20,4,173
2020-03-20,191,32,23,4,223
2020-03-21,244,39,23,4,283
2020-03-22,319,41,24,7,360
2020-03-23,393,40,35,8,467
2020-03-24,476,43,40,10,519
2020-03-25,563,43,43,10,606
2020-03-26,647,47,45,15,694
2020-03-27,677,47,67,17,724
2020-03-28,862,47,80,19,909
2020-03-29,976,48,96,27,1024
2020-03-30,1157,48,102,31,1251
2020-03-31,1311,48,124,35,1397
2020-04-01,1786,48,144,41,1834
2020-04-02,2021,48,156,53,2069
2020-04-03,2422,48,163,62,2547
2020-04-04,3024,48,213,75,3072
2020-04-05,3529,48,275,83,3577
2020-04-06,4233,48,319,111,4281
2020-04-07,4741,48,353,124,4789
2020-04-08,5226,48,411,149,5274
2020-04-09,5817,48,478,169,5865
2020-04-10,6713,48,516,206,6761
2020-04-11,7481,48,653,242,7529
2020-04-12,8399,48,765,273,8447
2020-04-13,9304,48,980,324,9352
2020-04-14,10767,48,1190,353,10815
2020-04-15,11885,48,1344,392,11933
2020-04-16,12711,48,1515,420,12759
2020-04-17,13787,48,1767,452,13835
2020-04-18,14744,48,2015,488,14792
2020-04-19,16068,48,2302,519,16116
2020-04-20,17608,48,2842,559,17656
2020-04-21,18937,48,3260,603,18985
2020-04-22,20423,48,3960,652,20471
2020-04-23,21652,48,4325,686,21700
2020-04-24,23404,48,4814,723,23452
2020-04-25,24845,48,5210,779,24942
2020-04-26,26557,48,5914,826,26917
2020-04-27,28112,48,6362,886,28380
2020-04-28,29786,48,7027,937,29974
2020-04-29,31661,48,7797,1008,31709
2020-04-30,33282,48,8373,1075,33610
2020-05-01,34924,48,9065,1152,35365
2020-05-02,37623,48,10018,1223,37776
2020-05-03,40076,48,10887,1306,40263
2020-05-04,42788,48,11762,1389,42836
2020-05-05,46663,48,13161,1583,46711
2020-05-06,49343,48,14183,1694,49391
2020-05-07,52904,48,15267,1783,52952
2020-05-08,56294,48,16540,1886,56342
2020-05-09,59614,48,17847,1981,59662
2020-05-10,62891,48,19358,2109,62939
2020-05-11,67104,48,20917,2206,67152
2020-05-12,70708,48,22455,2293,70756
2020-05-13,74233,48,24386,2415,74281
2020-05-14,77955,48,26235,2549,78003
2020-05-15,81922,48,27920,2649,81970
2020-05-16,85662,48,30153,2752,85710
2020-05-17,90589,48,34109,2872,90927
2020-05-18,95711,48,36824,3029,96169
2020-05-19,100277,48,39174,3163,101139
2020-05-20,105606,48,42298,3303,106750
2020-05-21,110908,48,45300,3435,112359
2020-05-22,116779,48,48534,3583,118447
2020-05-23,123154,48,51784,3720,125101
2020-05-24,129482,48,54441,3867,131868
2020-05-25,136155,48,57721,4021,138845
2020-05-26,142362,48,60491,4167,145380
2020-05-27,147706,48,64426,4337,151767
2020-05-28,153953,48,67692,4531,158333
2020-05-29,161078,48,71106,4706,165799
2020-05-30,168672,48,82370,4971,173763
2020-05-31,176604,48,86984,5164,182143
2020-06-01,184857,48,91819,5394,190535
2020-06-02,192244,48,95527,5598,198706
2020-06-03,200444,48,100303,5815,207615
2020-06-04,209388,48,104107,6075,216919
2020-06-05,219112,48,109462,6348,226770
2020-06-06,228417,48,114073,6642,236657
2020-06-07,237975,48,119293,6929,246628
2020-06-08,248726,48,124430,7200,256611
2020-06-09,257839,48,129314,7471,266598
2020-06-10,267308,48,135206,7745,276583
2020-06-11,277610,38,141029,8102,286579
2020-06-12,289182,38,147195,8498,297535
2020-06-13,300971,38,154330,8884,308993
2020-06-14,313448,38,162379,9195,320922
2020-06-15,325414,38,169798,9520,332424
2020-06-16,335369,38,180013,9900,343091
2020-06-17,345754,38,186935,11903,354065
2020-06-18,358205,38,194325,12237,366946
2020-06-19,371567,38,204711,12573,380532
2020-06-20,385745,38,213831,12948,395048
2020-06-21,401296,38,227756,13254,410461
2020-06-22,417412,38,237196,13699,425282
2020-06-23,432162,38,248190,14011,440215
2020-06-24,448004,38,258685,14476,456183
2020-06-25,464574,38,271697,14894,473105
2020-06-26,482240,38,285637,15301,490401
2020-06-27,500892,38,295881,15685,508953
2020-06-28,520982,38,309713,16095,528859
